,text,BIO_anno,class,bank_topic
10,打电话问中信信用卡为啥没批呗,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O,2,
11,大部分是凉的,O O O O O O,0,建设银行
12,这几天也接到了建行的分期电话，让我1.6分12期，跟他说5000，3期，意思意思。快两年了还没首提，心塞,O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,0,建设银行
13,我是建行贷款，别的银行信用卡没还，账单大概4w,O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,建设银行
14,微粒贷，借呗，这些也是多头的因素。因为这些都上征信。我两行卡，都是多头。因为我也是有使用微粒贷，花呗，借呗，白条。查征信显示这些全部上征信了。...,B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT O O O O O,2,建设银行
15,别急。说不准的。第一次过的时候也审核了十几天。不过最后全额度通过。利息高就没用,B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O,0,建设银行
16,如果单从利率方面来讲，五大行(中，农，工，建，交)的低利率是其他地方性商业银行无法相比的。但是申请进件要求肯定比其他银行高很多。非抵押纯信贷，年化约为5%～8%,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-BANK I-BANK I-BANK O O O O O O O O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O,1,Nan
17,确定不是智商税？,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O,0,民生银行
18,近日，山东枣庄。2009年7月，孙女士在原恒泰农村合作银行存入50万元，同年9月又存款50万元。2014年，恒泰农村合作银行进行改制，改制后的银行便是枣庄农商银行。2014年下半年，孙女士取钱时发现存折上仅有1块钱，孙女士将枣庄农商银行告上法庭。法院判决枣庄农商银行薛城支行，向孙女士支付存款100万元及相应利息。2021年7月1日，法院对枣庄农商银行薛城支行立案换种方式执行，执行标的为100万。,O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK I-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK I-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK I-BANK I-BANK O O O O O O O O O B-BANK I-BANK I-BANK I-BANK I-BANK I-BANK O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O,0,其它银行
19,银行耍无赖啊,O O O O O O,0,其它银行
20,★★★★★工商43农业1中国123建设51,O O O O O B-BANK I-BANK O O O O O B-BANK I-BANK O O O B-BANK I-BANK O O,2,其它银行
21,当然是拿来买基金啊，白嫖多香。,O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,其它银行
22,都是褥羊毛而已，生不了钱，日常薅羊毛还是很开心的哦,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
23,讨厌一天到晚做广告的ID,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,0,其它银行
24,已阅，喜欢是因为这里是温馨的虚拟社区,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,1,其它银行
25,打卡参加7.2，羊毛免费,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
26,2021年7月2日打卡参加活动--楊楊【肆】开心薅羊毛,O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,
27,你这活动贴今天2号才发出来，但是活动需要7.1-7.31，不符合逻辑啊，是不是搞错了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
28,7.2签到，不过老哥你今天发的，1号不算吧？,O O O O O O O O O O O O O O O O O O O O O O,2,其它银行
29,这个活动，7.2才发出来的，是不是从7.2开始呢？,O O O O O O O O O O O O O O O O O O O O O O O O O,2,其它银行
30,7.2出的活动，那7.1没发主题帖是不是就没有签到之星的勋章了。。。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,其它银行
31,打卡参加活动，薅羊毛的快乐,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
32,努力攒币中,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,其它银行
33,一年多不申卡了，只能晒下已有的,O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,其它银行
34,晒晒“断”卡，我的招行卡猫咪卡,O O O O O O O O O B-BANK I-BANK O O O O,2,
35,链接如下：,O O O O O,2,其它银行
36,交行_197k　民生_217k　中行_125k　工行_158k,B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK O O O O O,2,其它银行
37,去坛子内提问，有个第二期的活动贴，去那问，很多人会回答。{:1_1:},O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,2,建设银行
38,https://bbs.51credit.com/thread-4753952-1-1.html,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
39,工商84000,B-BANK I-BANK O O O O O,2,建设银行
40,招行15.0W,B-BANK I-BANK O O O O O,2,建设银行
41,还是我主动去手银申请的,O O O O O O B-PRODUCT I-PRODUCT O O O,2,建设银行
42,江西银行100K兴业115K,B-BANK I-BANK I-BANK I-BANK O O O O B-BANK I-BANK O O O O,2,建设银行
43,已经成功拿下农行信用卡首卡，开心一下,O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
44,我4星加常年10几个小砖，他拒我76次，最近一年流水大概700多万吧，没见过那个预审批额度出来，我还是白户呢，应该不存在卡多问题，也没有贷款逾期，申什么拒什么，估计没人...,O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ O O O O O O O O O O,0,建设银行
45,申请普卡呢？或者把你单位类型包装一哈。,O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O,2,建设银行
46,版主辛苦！为什么有的人可以全额现金分期，我只能分一半，是卡种不同，还是怎么着，望指教，感谢！,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
47,建行居然永远不算新户？怪不得多少年了积分还在,B-BANK I-BANK O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT O O,2,建设银行
48,兴业pass金67k,B-BANK I-BANK O O O O O O O O,2,建设银行
49,201305招商银行201501建设银行,O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK,2,建设银行
50,中信5.28,B-BANK I-BANK O O O O,2,建设银行
51,班主大人，没有临时额度是不是点固定肯定是凉凉？代码r52,O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,0,建设银行
52,建行多长时间提固定？,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O,2,建设银行
53,提固一次就显示授信过高，如何破？,B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,建设银行
54,发过授信的帖子，销卡，搬砖。,O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,建设银行
55,已经7行9张卡，怕消了不给下,O O O O O O O O B-COMMENTS_ADJ O O O O O,2,建设银行
56,中信34K（淘宝V、i白、lu.xu.ry）,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O,2,建设银行
57,唯一一张万年不提万元以下的卡是建行的,O O O O O O O O O O O O O O O B-BANK I-BANK O,2,建设银行
58,建行的提额，所有人都很迷糊。,B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
59,七八年了农行还是6千，别的行7万多的都有了,O O O O B-BANK I-BANK O O O O O O O O O O O O O O O,2,
60,是啊，都差不多，建行的小套路，没个七八顿的饭局，看来是问不出来了。,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O,0,建设银行
61,我怎么打不开？,O O O O O O O,2,建设银行
62,3天前申请，无征信获批，浦发,O O O O O O O B-PRODUCT I-PRODUCT O O O B-BANK I-BANK,2,
63,是不是呀，买银行的理财还是要用心选的,O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O,2,
64,我这里的建行想办大额，看重的最容易的就是房产证,O O O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,建设银行
65,斑竹辛苦了。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
66,k代表什么啊？完全不清楚,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,
67,下了，50k额度,O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
68,无卡有卡??额度多少在线等,O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,
69,楼主优质，额度很赞！,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,1,建设银行
70,后面额度不知道好提不，据说5万以上不会提额，困难,O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
71,提前恭喜,O O B-COMMENTS_ADJ I-COMMENTS_ADJ,1,建设银行
72,恭喜下卡坐等额度,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N,1,建设银行
73,预审额度多少下了5万,O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
74,是那个信用卡预审批额度吗，我看了下6000,O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2,建设银行
75,6000下了5万？真牛??是在网上申的,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2,
76,说下你的社保和公积金，看到你的情况，让我有试一试的冲动了,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,2,建设银行
77,审核了多久批的,B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
78,半步封神的额度，离80K的大山也不远了，弄的可以,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O,2,建设银行
79,我建行卡上学时候办的，到现在十年了，5千额度没提过,O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
80,快E贷不是快贷吧？,O O O O O B-PRODUCT I-PRODUCT O O,2,建设银行
81,看到额度没啥惊喜可言,O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
82,很好了,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,1,建设银行
83,我靠，100万的额度,O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
84,二卡？额度这么高,O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ,2,
85,首卡，额度可以了,B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O,2,
86,还可以养，我交通就是被我养起来的,O O O O O O B-BANK I-BANK O O O O O O O O,2,
87,我准备半年后下二卡支付白,O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
88,额度太低了，小贱提额太难了,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0,建设银行
89,消了，别犹豫。,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
90,能下就好，我被贱贱拒了四年还在拒,O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ,2,建设银行
91,怎样查额度？,O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
92,看论坛说提额难,O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ,0,建设银行
93,我是经历过了，下卡1年连临时额度都没有，一个贷后也没有，直接注销了,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
94,小健的手，一般比较紧,O O O O O O O O O B-COMMENTS_ADJ,2,建设银行
95,提固更难,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,0,建设银行
96,嗯，是，我的建行卡，2次提额，还是赶上活动放水普提。现在到30k，躺着不动了,O O O O O O B-BANK I-BANK O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O,2,建设银行
97,提的快吗,O O B-COMMENTS_ADJ O,2,建设银行
98,那好像是1万吧！刚毕业都是，中信稍微高点吧,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
99,是的，论坛第一人，我们都落后了,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
100,100万还不够吗,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
101,还可以,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
102,我下卡5千，五年多了，都没有动静。这个额度也是没谁了,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,
103,我第一张是ETC，后面下了支付白，汽车卡，额度也一点没给我提,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2,建设银行
104,牛车，我的车贷还完了,O O O O O B-PRODUCT I-PRODUCT O O O,2,
105,能下卡的都是优质客户！,O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,建设银行
106,没什么用提额照样拒绝,O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
107,今天下午3半前买070009，明天能确定成功吗？后天星期六，买入时间，是按明天第一天还是按下个星期一第一天？,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,建设银行
108,我不相信钛金大佬都二卡了还不知道怎么查额度。“卡服务”里面“额度调整”自己所有建行信用卡都会显示呀,O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O,2,建设银行
109,问题是怎么解决5万以上的后续问题呢？达不到10万都是弟弟，至少工商有大概率可以获得10万的，建设的话，大白山有点累...,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O B-COMMENTS_ADJ O O O,2,建设银行
110,全球支付,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
111,留V，想知道你的建行大额卡咋办的,O O O O O O O O B-BANK I-BANK O O O O O O,2,
112,全球支付v主吗还是全球支付银联,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N,2,建设银行
113,v，多交流交流经验，基金是咋赚钱的啊,O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O,2,
114,额度查到了吗,B-COMMENTS_N I-COMMENTS_N O O O O,2,建设银行
115,有房贷征信上能查到吧，或许房产证还能有些用，发票不一定能行，我昨天工行首卡也拒了，也想着重新去线下提供购房发票试试，感觉有点靠不住...,O B-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O,0,建设银行
116,"看自己需求啊,带娃吃饭啥的，就办招行的，每周三都有活动",O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O,2,
117,今天用了，秒批，平安的哦,O O O O O O O O B-BANK I-BANK O O,2,
118,我的利率1.8，有4W4的额度，卡发工资就是借不出来说多头授信哈哈,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
119,1.8是什么神仙信用卡啊,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2,
120,一直没有额度，是不是要在京东买点理财或者建行买点理财才能出额度？,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-BANK I-BANK O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
121,批了不代表有水啊！,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
122,我也是4号申请的，还在审批,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,建设银行
123,我依旧被拒了,O O O O B-COMMENTS_ADJ O,2,建设银行
124,征信花了？,B-PRODUCT I-PRODUCT O O O,2,建设银行
125,目前有4万多快贷，7行信用卡。,O O O O O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2,建设银行
126,建行app我刚看完10k没啥惊喜,B-BANK I-BANK O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
127,又想骗我送人头,O O B-COMMENTS_ADJ O O O O,0,建设银行
128,怎么看额度？,O O O B-COMMENTS_N I-COMMENTS_N O,2,建设银行
129,就怕忍不住,O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2,建设银行
130,我今天也跟风，批了46k。额度调整哪里可以看到,O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,建设银行
131,如果你是六七行以上并且征信带点小花下卡的有可能是放水！,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
132,额度管理,B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
133,建行的预审批，可信度有多高？目前有4万多快贷，7行信用卡。微信查有3万预审批额度，不知推倒小贱的概率有没有30%,B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,2,建设银行
134,没有完整卡号，注册不了手机银行，看不了,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,建设银行
135,建行有公积金贷款能下吗,B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O O O,2,建设银行
136,行多了也不好下,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
137,看了建行是你的真爱了！不过建行确实好用！,O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,1,建设银行
138,稳拒，愿你怀孕了,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,建设银行
139,Giao就完了，提额肯定是有希望的,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2,
140,要不隔半年再试试。到时候额度会高些,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O,2,
141,又拒了,O B-COMMENTS_ADJ O,2,建设银行
142,我也是，收了一笔款就变成这样了，额度瞬间就爆了,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,
143,你收的什么款？工商银行？,O O O O O O O B-BANK I-BANK I-BANK I-BANK O,2,
144,建行今天一大堆这样的??不懂要干什么??估计都得去柜台取钱销卡了,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,
